Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort
31;Bosrank;Clematis;De plant werkt zich omhoog met bladstelen (klimende stengel);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Clematis-klimplant.jpg;Clematis-klimplant.jpg
32;Haagwinde;calystegia sepium;Heeft een LINKSwindende stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Calystegia_May_2013-1.jpg;Calystegia_May_2013-1.jpg
33;Gewone boon;Phaseolus vulgaris;Heeft een LINKSwindende stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1200px-Snijboon_peulen_Phaseolus_vulgaris.jpg;1200px-Snijboon_peulen_Phaseolus_vulgaris.jpg
34;Kamperfoelie;Lonicera;Heeft een RECHTSwindende stengel;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/4beff080-5048-4ed3-98b4-6f32a38d271f.jpg;4beff080-5048-4ed3-98b4-6f32a38d271f.jpg
35;Heggerank;Bryonia dioica;Is eerst linksdraaiend en vervolgens rechtsdraaiend.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/P1000627_Bryonia_dioica_(Cucurbitaceae)_Plant.JPG;P1000627_Bryonia_dioica_(Cucurbitaceae)_Plant.JPG
36;Klein kruiskruid;Senecio vulgaris;Eénjarige plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Common_Groundsel-first_fruits.jpg;Common_Groundsel-first_fruits.jpg
37;Zonnebloem;Helianthus annuus;Eénjarige plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/0001224_common-sunflower-helianthus-annuus.jpeg;0001224_common-sunflower-helianthus-annuus.jpeg
38;Akkkergoudsbloem;Calendula arvensis;Eénjarige plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1200px-Calendula_January_2008-1_filtered.jpg;1200px-Calendula_January_2008-1_filtered.jpg
39;Grote klaproos;Papaver rhoeas;Eénjarige plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Papaver_rhoeas_-_Köhler–s_Medizinal-Pflanzen-101.jpg;Papaver_rhoeas_-_Köhler–s_Medizinal-Pflanzen-101.jpg
40;Wortel;Daucus carota;Tweejarige plant: Maakt bladrozet in eerste jaar, stuurt pas in het 2e jaar een bladstengel omhoog om na de bloei af te sterven;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Daucus_Carota.jpg;Daucus_Carota.jpg
41;Engelwortel;Angelica archangelica;Tweejarige plant: Maakt bladrozet in eerste jaar, stuurt pas in het 2e jaar een bladstengel omhoog om na de bloei af te sterven;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/ANARCHAN_124_03082016105720.jpg;ANARCHAN_124_03082016105720.jpg
42;Peterselie;Petroselinum crispum;Tweejarige plant: Maakt bladrozet in eerste jaar, stuurt pas in het 2e jaar een bladstengel omhoog om na de bloei af te sterven;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Petroselinum_crispum_-_Köhler–s_Medizinal-Pflanzen-103.jpg;Petroselinum_crispum_-_Köhler–s_Medizinal-Pflanzen-103.jpg
43;Aardappel;Solanum tuberosum;Stengelknol;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/original.jpeg;original.jpeg
44;Tulp;Tulipa;Bol;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/stock-photo-growth-stages-of-a-yellow-tulip-from-flower-bulb-to-blooming-flower-isolated-on-a-white-background-2108379491.jpg;stock-photo-growth-stages-of-a-yellow-tulip-from-flower-bulb-to-blooming-flower-isolated-on-a-white-background-2108379491.jpg
45;Bosanemone;Anemone nemorosa;Heeft wortelstokken;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/anemone-nemorosa-royal-blue-3.jpg;anemone-nemorosa-royal-blue-3.jpg
46;Linde;Tillia spp.;Heeft monochasiale vertakkingen. Dit wil zeggen dat de knopen afwisselend ingeplant staan en slechts één van de zijjnkoppen uitlopen, zodat de leden elk om beurt lichtjes afbuigen naar links of naar rechts.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/tillia-cordata-greenspire.jpg;tillia-cordata-greenspire.jpg
47;Iep;Ulmus spp.;;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/2796819.jpg;2796819.jpg
48;Papierstruik;Edgeworthia chrysantha;"De plant loopt op DRIE (!) zijknopen tegelijk uit. Ze is maw ""trichasiaal"" (op 3 zijknopen uitlopend)";https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Edgeworthia_chrysantha_0007035_2__30979.jpg;Edgeworthia_chrysantha_0007035_2__30979.jpg
49;Framboos;Rubus idaeus;Kan bvb een adventieve knop hebben op de wortels;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/20130714Rubus_idaeus2.jpg;20130714Rubus_idaeus2.jpg
50;Roos;Rosa spp.;;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/;
51;Sering;Syringa vulgaris;De bloemknoppen van de sering zijn makkelijk te onderscheiden van de bladknoppen: ze zitten meestal aan de uiteinden van de twijg en zijn dikker en groter dan de onderliggende bladknoppen.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/240px-Syringa.vulgaris(01).jpg;240px-Syringa.vulgaris(01).jpg
52;Peer;Pyrus communis;Heeft een bedekte of geschubde knop;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Pyrus-communis-Triomphe-de-Vienne-SR-foto-21-scaled.jpeg;Pyrus-communis-Triomphe-de-Vienne-SR-foto-21-scaled.jpeg
53;Appel;Malus domestica;Heeft een bedekte of geschubde knop;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1.jpg;1.jpg
54;Gelderse roos;Viburnum opulus;De knop heeft géén beschermende blaadjes of schubben;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/cff62ba1c71c3546362cc172c9984ea1a0af3b2e_0437699d0199ae184a980324c371fec45d32efcc.jpg;cff62ba1c71c3546362cc172c9984ea1a0af3b2e_0437699d0199ae184a980324c371fec45d32efcc.jpg
55;Vuilboom;Hhamnus cathartica;De knop heeft géén beschermende blaadjes of schubben;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1571852.jpg;1571852.jpg
56;Sleutelbloem;Primula spp.;Schuin groeiende wortelstokken or rhizomen;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1986030.jpg;1986030.jpg
57;Waterscheerling;Cicuta virosa;Verticaal groeiende wortelstokken ofrhizomen;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/2257323.jpg;2257323.jpg
58;Zandzegge;Carex arenaria;De plant helpt tegen erosie door de bodem (duinzand bvb) te fixeren;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/zandzegge-jcs-carex-arenaria-70072.jpg;zandzegge-jcs-carex-arenaria-70072.jpg
59;Meiklokje;Convallaria majalis;Sterft bovengronds af maar heeft reservevoedsel in de wortelstok;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1577369082-732146-340.jpg;1577369082-732146-340.jpg
60;Salomonszegel;Polygonatum;Sterft bovengronds af maar heeft reservevoedsel in de wortelstok;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/poweih.jpg;poweih.jpg
61;Krokus;Crocus spp.;Heeft een stengelknol;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/planting-and-caring-for-crocus-1402246-04-b473f9aff23b4196866c08aeda8c60db.JPG;planting-and-caring-for-crocus-1402246-04-b473f9aff23b4196866c08aeda8c60db.JPG
62;Gladiool;Gladiolus spp.;Heeft een stengelknol;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/gladiolus.jpeg;gladiolus.jpeg
63;Cyclamen;Cyclamen spp.;Heeft een stengelknol;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/purple-cyclamen-cyclamen-growing-in-the-wild-shutterstock-com_16435.jpg;purple-cyclamen-cyclamen-growing-in-the-wild-shutterstock-com_16435.jpg
64;Passiebloem;Passiflora;Stengelrank die gevallig is voor aanraking en zich kurkentrekkervormig krult als ze iets voelen waar ze zich aan kunnen hechten.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/blue-passionflower_blaue-passionsblume_passiflora-caerulea.jpeg;blue-passionflower_blaue-passionsblume_passiflora-caerulea.jpeg
65;Wilde wingerd;Parthenocissus;Heeft stengelranken maar in plaats van zich om te krullen zitten er kleine hechtschijfjes op die zich vasthechten op de eventuele steun.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/2670-3.png;2670-3.png
66;Meidoorn;Crataegus spp.;Heeft een takdoorn (maw, het is een stengel en er kunnen dus ook bladeren en bloemen aangroeien);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1024px-Eenstijlige_meidoorn_(Crataegus_monogyna_branch).jpg;1024px-Eenstijlige_meidoorn_(Crataegus_monogyna_branch).jpg
67;Duindoorn;Hippophae rhamnoides;Heeft een takdoorn (maw, het is een stengel en er kunnen dus ook bladeren en bloemen aangroeien);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Hippophae-rhamnoides.jpg;Hippophae-rhamnoides.jpg
68;Gaspeldoorn;Ulex europaeus;Heeft een takdoorn (maw, het is een stengel en er kunnen dus ook bladeren en bloemen aangroeien);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/2083242.jpg;2083242.jpg
69;Sleedoorn;Prunus spinosa;Heeft een takdoorn (maw, het is een stengel en er kunnen dus ook bladeren en bloemen aangroeien);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/5c52fd77531f4baabb24cfa0bc5d775f.jpg;5c52fd77531f4baabb24cfa0bc5d775f.jpg
70;Brem;Cytisus scoparius;Heeft een stengel die het uitzicht hebben van bladeren en de functie ervan overgenomen hebben.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1200px-Cytisus_scoparius1.jpg;1200px-Cytisus_scoparius1.jpg
71;Lidcactus;Shlumbergera spp.;Heeft een stengel die het uitzicht hebben van bladeren en de functie ervan overgenomen hebben.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Cactus_de_noël_rev.jpg;Cactus_de_noël_rev.jpg
72;Schijfcactus;Opuntia spp.;Heeft een stengel die het uitzicht hebben van bladeren en de functie ervan overgenomen hebben.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1200px-Opuntia_littoralis_var_vaseyi_4.jpg;1200px-Opuntia_littoralis_var_vaseyi_4.jpg
73;Muizendoorn;Ruscus aculeatus;Heeft onderaan het blad een kleine geelgroenig/paarsgroenige bloem die later uitgroeit tot een rode bes. Op een blad groeien er nooit bloemen dus het is een stengel.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/ruscus-aculeatus-7edcu.jpg;ruscus-aculeatus-7edcu.jpg
74;Muurpeper;Sedum acre;Succulente plant;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Rappottenstein_2071.jpg;Rappottenstein_2071.jpg
75;Zeekraal;Salicornia spp.;;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/Salicornia_flowers.JPG;Salicornia_flowers.JPG
76;Zeepostelein;Honckenya peploides;;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Morfologie/1200px-Honckenya_peploides_kz2.jpg;1200px-Honckenya_peploides_kz2.jpg
