Nummer;Nederlands;Wetenschappelijke naam;Extra info;Afbeelding;AfbKort
11;Bitterzoet;Solanum dulcamara;Bladschijf: Geoord;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Solanum_dulcamara_leaves1.jpg;Solanum_dulcamara_leaves1.jpg
12;Schapenzuring;Rumex acetosella;Bladschijf: Spiesvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/rumex-acetosella-le-dcameron-b.jpg;rumex-acetosella-le-dcameron-b.jpg
13;Hondsdraf;Glechoma hederacea;Bladschijf: Niervormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Glechoma_hederacea_l_cMk4LyBz5Lfm.jpe;Glechoma_hederacea_l_cMk4LyBz5Lfm.jpe
14;Hazelaar;Corylus avellana;Bladschijf: Omgekeerd eirond;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Corylus_avellana.jpg;Corylus_avellana.jpg
15;Madeliefje;Bellis perennis;Bladschijf: Spatelvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Bellis_perennis_full_plant.jpg;Bellis_perennis_full_plant.jpg
16;Japanse notenboom;Ginkgo biloba;Bladschijf: Omgekeerde driehoek of waaiervormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Ginkgo_biloba_(9).JPG;Ginkgo_biloba_(9).JPG
17;Klaver;Trifolium repens;Bladschijf: Omgekeerd hartvormig (niet voor elke klaver even duidelijk);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/GettyImages-BB9905-006-d4cc008f1ba74651bd6f9b3deb39ab86.jpg;GettyImages-BB9905-006-d4cc008f1ba74651bd6f9b3deb39ab86.jpg
18;Venijnboom;Taxus baccata;Bladschijf: Lijnvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/taxus-baccata-20.jpg;taxus-baccata-20.jpg
19;Lisdodde;Typha latifolia;Bladschijf: Lintvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/typha-latifolia-angustifolia_0616_163549.jpg;typha-latifolia-angustifolia_0616_163549.jpg
20;Blauwe lis;Iris germanica;Bladschijf: Zwaardvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Iris_germanica_leaves.jpg;Iris_germanica_leaves.jpg
21;Jeneverbes;Juniperus communis;Bladschijf: Priemvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Juniperus_communis_Finland_2006.jpg;Juniperus_communis_Finland_2006.jpg
22;Fijnspar;Picea abies;Bladschijf: Naaldvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/220px-Picea_abies_Nadelkissen.jpg;220px-Picea_abies_Nadelkissen.jpg
23;Alpenden;Pinus cembra;Bladschijf: Naaldvormig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Swiss_pine_(Pinus_cembra)_'Columnaris'_cone.jpg;Swiss_pine_(Pinus_cembra)_'Columnaris'_cone.jpg
24;Sering;Syringa;Bladrand: Gaaf;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Lilac.leaves.arp.jpg;Lilac.leaves.arp.jpg
25;Linde;Tilia;Bladrand: Ingesneden - Gezaagd. Ondiepe insnijdingen die de algemene vorm van de bladschijf niet beïnvloeden.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Tilia_americana_(American_Linden)_(28268263222).jpg;Tilia_americana_(American_Linden)_(28268263222).jpg
26;Kerriestruik;Kerria japonica;Bladrand: Ingesneden - Dubbel gezaagd. Ondiepe insnijdingen die de algemene vormvan de bladschijf niet beïnvloeden.;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/800px-BGTransp_L_Kerria_japonica_leaf.png;800px-BGTransp_L_Kerria_japonica_leaf.png
27;Hulst;Ilex aquifolium;Bladrand: Doornig getand;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Ilex_aquifolium_in_the_Tashkent_Botanical_Garden.jpg;Ilex_aquifolium_in_the_Tashkent_Botanical_Garden.jpg
28;Dotterbloem;Caltha palustris;Bladrand: Gekarteld;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/800px-Caltha_palustris_plant.JPG;800px-Caltha_palustris_plant.JPG
29;Lotus;Nelumbo nucifera;Bladrand: Gegolfd of geschubd;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Nelumbo_nucifera_001.JPG;Nelumbo_nucifera_001.JPG
30;Beuk;Fagus sylvatica;Bladrand: Geonduleerd;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Fagus_sylvatica_-_fruits_and_leaves.jpg;Fagus_sylvatica_-_fruits_and_leaves.jpg
31;Zomereik;Quercus robur;Bladrand: Gelobd (veer- of vinlobbig);https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Upright_English_Oak_Quercus_robur_cv._Fastigiata_Leaves_2600px.jpg;Upright_English_Oak_Quercus_robur_cv._Fastigiata_Leaves_2600px.jpg
32;Klimop;Hedera helix;Bladrand: Handlobbig;https://uw-tuingids.be/assets/websitedata/uwtuingids.be/Files/Bladeren/Hedera_helix_cultivars.jpg;Hedera_helix_cultivars.jpg
